Nome do Jogador,Clube,Posição,Idade,Ano de Nascimento,Valor de Mercado (texto),Valor de Mercado (€)
Taiwo Awoniyi,Nottingham Forest,Centre-Forward,"12,",Aug,€18.00m,
Chris Wood,Nottingham Forest,Centre-Forward,"7,",Dec,€10.00m,
Thomas Kaminski,Luton Town,Goalkeeper,"23,",Oct,€2.50m,
Tim Krul,Luton Town,Goalkeeper,"3,",Apr,€350k,
James Shea,Luton Town,Goalkeeper,"16,",Jun,€175k,
Mark McGuinness,Luton Town,Centre-Back,"5,",Jan,€9.00m,
Teden Mengi,Luton Town,Centre-Back,"30,",Apr,€8.00m,
Mads Andersen,Luton Town,Centre-Back,"27,",Dec,€3.00m,
Reece Burke,Luton Town,Centre-Back,"2,",Sep,€1.80m,
Tom Lockyer,Luton Town,Centre-Back,"3,",Dec,€1.50m,
Christ Makosso,Luton Town,Centre-Back,"9,",May,€800k,
Kal Naismith,Luton Town,Centre-Back,"18,",Feb,€600k,
Amari'i Bell,Luton Town,Left-Back,"5,",May,€2.20m,
Joe Johnson,Luton Town,Left-Back,"21,",Feb,€300k,
Reuell Walters,Luton Town,Right-Back,"16,",Dec,€4.00m,
Daiki Hashioka,Luton Town,Right-Back,"17,",May,€2.00m,
Marvelous Nakamba,Luton Town,Defensive Midfield,"19,",Jan,€4.00m,
Lamine Fanne,Luton Town,Defensive Midfield,"30,",Jan,€4.00m,
Shandon Baptiste,Luton Town,Central Midfield,"8,",Apr,€2.50m,
Jordan Clark,Luton Town,Central Midfield,"22,",Sep,€800k,
Liam Walsh,Luton Town,Central Midfield,"15,",Sep,€500k,
Alfie Doughty,Luton Town,Left Midfield,"21,",Dec,€8.00m,
Thelo Aasgaard,Luton Town,Attacking Midfield,"2,",May,€2.00m,
Zack Nelson,Luton Town,Attacking Midfield,"21,",Apr,€500k,
Tahith Chong,Luton Town,Right Winger,"4,",Dec,€6.00m,
Isaiah Jones,Luton Town,Right Winger,"26,",Jun,€5.00m,
Josh Bowler,Luton Town,Right Winger,"5,",Mar,€1.20m,
Victor Moses,Luton Town,Right Winger,"12,",Dec,€800k,
Carlton Morris,Luton Town,Centre-Forward,"16,",Dec,€8.00m,
Elijah Adebayo,Luton Town,Centre-Forward,"7,",Jan,€8.00m,
Jacob Brown,Luton Town,Centre-Forward,"10,",Apr,€3.50m,
Lasse Nordås,Luton Town,Centre-Forward,"10,",Feb,€2.50m,
Millenic Alli,Luton Town,Centre-Forward,"6,",Feb,€1.00m,
James Trafford,Burnley,Goalkeeper,"10,",Oct,€20.00m,
Etienne Green,Burnley,Goalkeeper,"19,",Jul,€700k,
Vaclav Hladky,Burnley,Goalkeeper,"14,",Nov,€350k,
Maxime Estève,Burnley,Centre-Back,"26,",May,€18.00m,
CJ Egan-Riley,Burnley,Centre-Back,"2,",Jan,€14.00m,
Jordan Beyer,Burnley,Centre-Back,"19,",May,€8.00m,
Joe Worrall,Burnley,Centre-Back,"10,",Jan,€5.50m,
Bashir Humphreys,Burnley,Left-Back,"15,",Mar,€6.50m,
Lucas Pires,Burnley,Left-Back,"24,",Mar,€4.00m,
Shurandy Sambo,Burnley,Left-Back,"19,",Aug,€2.00m,
Connor Roberts,Burnley,Right-Back,"23,",Sep,€4.50m,
Oliver Sonne,Burnley,Right-Back,"10,",Nov,€3.00m,
Josh Cullen,Burnley,Defensive Midfield,"7,",Apr,€6.50m,
Josh Brownhill,Burnley,Central Midfield,"19,",Dec,€13.00m,
Josh Laurent,Burnley,Central Midfield,"6,",May,€1.80m,
Jonjo Shelvey,Burnley,Central Midfield,"27,",Feb,€1.30m,
Aaron Ramsey,Burnley,Attacking Midfield,"21,",Jan,€10.00m,
Hannibal,Burnley,Attacking Midfield,"21,",Jan,€9.00m,
Zian Flemming,Burnley,Attacking Midfield,"1,",Aug,€4.00m,
Mike Trésor,Burnley,Left Winger,"28,",May,€8.00m,
Jeremy Sarmiento,Burnley,Left Winger,"16,",Jun,€7.00m,
Jaidon Anthony,Burnley,Left Winger,"1,",Dec,€5.50m,
Jaydon Banel,Burnley,Left Winger,"19,",Oct,€1.00m,
Marcus Edwards,Burnley,Right Winger,"3,",Dec,€15.00m,
Luca Koleosho,Burnley,Right Winger,"15,",Sep,€12.00m,
Benson Manuel,Burnley,Right Winger,"28,",Mar,€4.50m,
Nathan Redmond,Burnley,Right Winger,"6,",Mar,€2.50m,
Enock Agyei,Burnley,Right Winger,"13,",Jan,€800k,
Lyle Foster,Burnley,Centre-Forward,"3,",Sep,€7.00m,
Ashley Barnes,Burnley,Centre-Forward,"30,",Oct,€350k,
Michael Cooper,Sheffield United,Goalkeeper,"8,",Oct,€7.00m,
Adam Davies,Sheffield United,Goalkeeper,"17,",Jul,€400k,
Anel Ahmedhodzic,Sheffield United,Centre-Back,"26,",Mar,€18.00m,
Rob Holding,Sheffield United,Centre-Back,"20,",Sep,€4.00m,
Jack Robinson,Sheffield United,Centre-Back,"1,",Sep,€800k,
Harrison Burrows,Sheffield United,Left-Back,"12,",Jan,€10.00m,
Rhys Norrington-Davies,Sheffield United,Left-Back,"22,",Apr,€2.50m,
Sam McCallum,Sheffield United,Left-Back,"2,",Sep,€1.20m,
Alfie Gilchrist,Sheffield United,Right-Back,"28,",Nov,€8.00m,
Harry Clarke,Sheffield United,Right-Back,"2,",Mar,€5.00m,
Jamie Shackleton,Sheffield United,Right-Back,"8,",Oct,€1.50m,
Femi Seriki,Sheffield United,Right-Back,"28,",Apr,€300k,
Vini Souza,Sheffield United,Defensive Midfield,"17,",Jun,€14.00m,
Hamza Choudhury,Sheffield United,Defensive Midfield,"1,",Oct,€4.50m,
Gustavo Hamer,Sheffield United,Central Midfield,"24,",Jun,€15.00m,
Tom Davies,Sheffield United,Central Midfield,"30,",Jun,€4.50m,
Andre Brooks,Sheffield United,Central Midfield,"20,",Aug,€2.50m,
Oliver Arblaster,Sheffield United,Central Midfield,"8,",Jan,€1.20m,
Sydie Peck,Sheffield United,Central Midfield,"13,",Sep,€200k,
Callum O'Hare,Sheffield United,Attacking Midfield,"1,",May,€2.80m,
Jefferson Cáceres,Sheffield United,Left Winger,"22,",Aug,€1.00m,
Christian Nwachukwu,Sheffield United,Left Winger,"27,",Dec,€800k,
Jesurun Rak-Sakyi,Sheffield United,Right Winger,"5,",Oct,€3.00m,
Tom Cannon,Sheffield United,Centre-Forward,"28,",Dec,€10.00m,
Ben Brereton Díaz,Sheffield United,Centre-Forward,"18,",Apr,€8.00m,
Tyrese Campbell,Sheffield United,Centre-Forward,"28,",Dec,€4.00m,
Rhian Brewster,Sheffield United,Centre-Forward,"1,",Apr,€3.00m,
Kieffer Moore,Sheffield United,Centre-Forward,"8,",Aug,€1.20m,
Ryan Oné,Sheffield United,Centre-Forward,"26,",Jun,€200k,
